Park,Year,Month,Recreation Visits,Date,Prev_Year_Visits,YoY_Growth
Adams NHP,2024,12,359,2024-12-01,455.0,-0.210989010989011
Andersonville NHS,2024,12,8354,2024-12-01,6264.0,0.3336526181353768
Andrew Johnson NHS,2024,12,2190,2024-12-01,8597.0,-0.7452599744096778
Antietam NB,2024,12,23574,2024-12-01,17662.0,0.33472992866040086
Apostle Islands NL,2024,12,2123,2024-12-01,2449.0,-0.13311555737035524
Appomattox Court House NHP,2024,12,2294,2024-12-01,2887.0,-0.2054035330793211
Arches NP,2024,12,48845,2024-12-01,48037.0,0.01682036763328268
Arkansas Post NMEM,2024,12,1525,2024-12-01,1231.0,0.2388302193338749
Arlington House The R.E. Lee MEM,2024,12,18689,2024-12-01,6064.0,2.0819591029023745
Assateague Island NS,2024,12,56630,2024-12-01,61752.0,-0.08294468195362094
Aztec Ruins NM,2024,12,1176,2024-12-01,2463.0,-0.5225334957369062
Badlands NP,2024,12,14599,2024-12-01,10697.0,0.36477517060858183
Bandelier NM,2024,12,17514,2024-12-01,9140.0,0.9161925601750547
Belmont-Paul Women's Equality NM,2024,12,543,2024-12-01,549.0,-0.01092896174863388
Bent's Old Fort NHS,2024,12,156,2024-12-01,638.0,-0.7554858934169278
Bering Land Bridge NPRES,2024,12,168,2024-12-01,168.0,0.0
Big Bend NP,2024,12,66201,2024-12-01,54534.0,0.2139399273847508
Big Cypress NPRES,2024,12,319976,2024-12-01,206798.0,0.5472876913703227
Big Hole NB,2024,12,360,2024-12-01,419.0,-0.14081145584725538
Big South Fork NRRA,2024,12,43292,2024-12-01,47768.0,-0.09370289733712946
Big Thicket NPRES,2024,12,23116,2024-12-01,24077.0,-0.039913610499646965
Bighorn Canyon NRA,2024,12,4378,2024-12-01,4648.0,-0.058089500860585196
Biscayne NP,2024,12,33143,2024-12-01,29380.0,0.12808032675289313
Black Canyon of the Gunnison NP,2024,12,5608,2024-12-01,5530.0,0.014104882459312839
Blue Ridge PKWY,2024,12,938147,2024-12-01,760353.0,0.23383086540067574
Bluestone NSR,2024,12,639,2024-12-01,300.0,1.13
Booker T. Washington NM,2024,12,1244,2024-12-01,1116.0,0.11469534050179211
Boston African American NHS,2024,12,5562,2024-12-01,5582.0,-0.0035829451809387316
Boston Harbor Islands NRA,2024,12,2500,2024-12-01,950.0,1.631578947368421
Boston NHP,2024,12,110387,2024-12-01,111864.0,-0.013203532861331618
Brices Cross Roads,1983,12,104,1983-12-01,83.0,0.25301204819277107
Brown v. Board of Education NHP,2024,12,1015,2024-12-01,692.0,0.4667630057803468
Bryce Canyon NP,2024,12,65379,2024-12-01,55517.0,0.17763928166147305
Buck Island Reef NM,2024,12,3583,2024-12-01,4337.0,-0.17385289370532625
Buffalo NR,2024,12,33135,2024-12-01,46787.0,-0.291790454613461
Cabrillo NM,2024,12,69177,2024-12-01,70222.0,-0.01488137620688673
Camp Nelson NM,2024,12,1640,2024-12-01,1780.0,-0.07865168539325842
Canaveral NS,2024,12,118853,2024-12-01,108440.0,0.09602545186278126
Cane River Creole NHP,2024,12,1248,2024-12-01,724.0,0.7237569060773481
Canyon de Chelly NM,2024,12,40150,2024-12-01,22456.0,0.7879408621303883
Canyonlands NP,2024,12,20062,2024-12-01,20278.0,-0.010651938060952756
Cape Cod NS,2024,12,135772,2024-12-01,137896.0,-0.015402912339734292
Cape Hatteras NS,2024,12,84034,2024-12-01,86548.0,-0.02904746499052549
Cape Krusenstern NM,2024,12,1699,2024-12-01,1812.0,-0.06236203090507726
Cape Lookout NS,2024,12,34395,2024-12-01,27302.0,0.25979781700974286
Capitol Reef NP,2024,12,43772,2024-12-01,28666.0,0.5269657433893812
Capulin Volcano NM,2024,12,4897,2024-12-01,3926.0,0.24732552215995923
Carl Sandburg Home NHS,2024,12,1598,2024-12-01,9455.0,-0.8309888947646747
Carlsbad Caverns NP,2024,12,33122,2024-12-01,29600.0,0.11898648648648649
