Year,Recreation Visits
1979,109563109
1980,123821678
1981,135995442
1982,139033228
1983,133403727
1984,129867432
1985,140689503
1986,147607593
1987,153943399
1988,148519747
1989,133056976
1990,133716306
1991,138685957
1992,143558730
1993,146635598
1994,144432333
1995,148248806
1996,145575490
1997,154328855
1998,157498176
1999,159126005
2000,159164999
2001,156513995
2002,157364004
2003,148926736
2004,150299175
2005,147824349
2006,148259453
2007,149279984
2008,148240687
2009,152887205
2010,151888213
2011,151373281
2012,151639234
2013,146196883
2014,154549114
2015,159214595
2016,174741662
2017,171739054
2018,164828572
2019,171142620
2020,132367743
2021,162404042
2022,167759188
2023,175421210
2024,176057038
