Park,Month,Recreation Visits,Total_Visits,Months_Count,Avg_Per_Month,Seasonality_Index
Adams NHP,1,37206,4931861,12,410988.4166666667,0.09052809882516964
Adams NHP,2,63858,4931861,12,410988.4166666667,0.1553766417991099
Adams NHP,3,66681,4931861,12,410988.4166666667,0.16224544852338701
Adams NHP,4,245440,4931861,12,410988.4166666667,0.5971944464777089
Adams NHP,5,540491,4931861,12,410988.4166666667,1.315100324198107
Adams NHP,6,717788,4931861,12,410988.4166666667,1.7464920442810532
Adams NHP,7,900350,4931861,12,410988.4166666667,2.1906943443864293
Adams NHP,8,776177,4931861,12,410988.4166666667,1.888561741703588
Adams NHP,9,677681,4931861,12,410988.4166666667,1.6489053523609039
Adams NHP,10,667426,4931861,12,410988.4166666667,1.6239533109307014
Adams NHP,11,183690,4931861,12,410988.4166666667,0.44694690300476836
Adams NHP,12,55073,4931861,12,410988.4166666667,0.13400134350907295
Amache NHS,1,0,4771,12,397.5833333333333,0.0
Amache NHS,2,0,4771,12,397.5833333333333,0.0
Amache NHS,3,0,4771,12,397.5833333333333,0.0
Amache NHS,4,0,4771,12,397.5833333333333,0.0
Amache NHS,5,0,4771,12,397.5833333333333,0.0
Amache NHS,6,0,4771,12,397.5833333333333,0.0
Amache NHS,7,1101,4771,12,397.5833333333333,2.769230769230769
Amache NHS,8,749,4771,12,397.5833333333333,1.8838817857891428
Amache NHS,9,1278,4771,12,397.5833333333333,3.214420456927269
Amache NHS,10,749,4771,12,397.5833333333333,1.8838817857891428
Amache NHS,11,505,4771,12,397.5833333333333,1.2701739677216517
Amache NHS,12,389,4771,12,397.5833333333333,0.9784112345420248
Andersonville NHS,1,305421,6127849,12,510654.0833333333,0.5980976358914849
Andersonville NHS,2,428142,6127849,12,510654.0833333333,0.8384188317956268
Andersonville NHS,3,579494,6127849,12,510654.0833333333,1.1348073361468274
Andersonville NHS,4,634006,6127849,12,510654.0833333333,1.2415567028495644
Andersonville NHS,5,804108,6127849,12,510654.0833333333,1.5746628221419947
Andersonville NHS,6,538546,6127849,12,510654.0833333333,1.0546199816607753
Andersonville NHS,7,575446,6127849,12,510654.0833333333,1.1268802478651154
Andersonville NHS,8,473372,6127849,12,510654.0833333333,0.9269915103978574
Andersonville NHS,9,466966,6127849,12,510654.0833333333,0.9144468148611364
Andersonville NHS,10,573057,6127849,12,510654.0833333333,1.1222019341534035
Andersonville NHS,11,414092,6127849,12,510654.0833333333,0.8109050989996653
Andersonville NHS,12,335199,6127849,12,510654.0833333333,0.6564110832365484
Andrew Johnson NHS,1,128139,2767629,12,230635.75,0.5555903627256399
Andrew Johnson NHS,2,142512,2767629,12,230635.75,0.617909409100714
Andrew Johnson NHS,3,210750,2767629,12,230635.75,0.9137785447399199
Andrew Johnson NHS,4,239117,2767629,12,230635.75,1.036773353653976
Andrew Johnson NHS,5,404260,2767629,12,230635.75,1.752807186223298
Andrew Johnson NHS,6,286397,2767629,12,230635.75,1.241771928246163
Andrew Johnson NHS,7,281397,2767629,12,230635.75,1.2200927219652633
Andrew Johnson NHS,8,254078,2767629,12,230635.75,1.101641874687684
