Region,Year,Month,Recreation Visits,Date
Alaska,1979,1,502,1979-01-01
Alaska,1979,2,193,1979-02-01
Alaska,1979,3,720,1979-03-01
Alaska,1979,4,1127,1979-04-01
Alaska,1979,5,17425,1979-05-01
Alaska,1979,6,64758,1979-06-01
Alaska,1979,7,93718,1979-07-01
Alaska,1979,8,104986,1979-08-01
Alaska,1979,9,54663,1979-09-01
Alaska,1979,10,2501,1979-10-01
Alaska,1979,11,1034,1979-11-01
Alaska,1979,12,510,1979-12-01
Alaska,1980,1,238,1980-01-01
Alaska,1980,2,186,1980-02-01
Alaska,1980,3,451,1980-03-01
Alaska,1980,4,658,1980-04-01
Alaska,1980,5,14432,1980-05-01
Alaska,1980,6,47673,1980-06-01
Alaska,1980,7,90259,1980-07-01
Alaska,1980,8,101657,1980-08-01
Alaska,1980,9,52509,1980-09-01
Alaska,1980,10,2222,1980-10-01
Alaska,1980,11,888,1980-11-01
Alaska,1980,12,193,1980-12-01
Alaska,1981,1,191,1981-01-01
Alaska,1981,2,182,1981-02-01
Alaska,1981,3,432,1981-03-01
Alaska,1981,4,727,1981-04-01
Alaska,1981,5,15429,1981-05-01
Alaska,1981,6,46930,1981-06-01
Alaska,1981,7,112304,1981-07-01
Alaska,1981,8,115053,1981-08-01
Alaska,1981,9,46650,1981-09-01
Alaska,1981,10,2394,1981-10-01
Alaska,1981,11,977,1981-11-01
Alaska,1981,12,395,1981-12-01
Alaska,1982,1,242,1982-01-01
Alaska,1982,2,232,1982-02-01
Alaska,1982,3,505,1982-03-01
Alaska,1982,4,1024,1982-04-01
Alaska,1982,5,18270,1982-05-01
Alaska,1982,6,81319,1982-06-01
Alaska,1982,7,124945,1982-07-01
Alaska,1982,8,124929,1982-08-01
Alaska,1982,9,69814,1982-09-01
Alaska,1982,10,1554,1982-10-01
Alaska,1982,11,607,1982-11-01
Alaska,1982,12,367,1982-12-01
Alaska,1983,1,308,1983-01-01
Alaska,1983,2,369,1983-02-01
Alaska,1983,3,605,1983-03-01
Alaska,1983,4,1091,1983-04-01
Alaska,1983,5,12799,1983-05-01
Alaska,1983,6,65053,1983-06-01
Alaska,1983,7,148294,1983-07-01
Alaska,1983,8,148040,1983-08-01
Alaska,1983,9,71864,1983-09-01
Alaska,1983,10,1355,1983-10-01
Alaska,1983,11,583,1983-11-01
Alaska,1983,12,291,1983-12-01
Alaska,1984,1,241,1984-01-01
Alaska,1984,2,463,1984-02-01
Alaska,1984,3,594,1984-03-01
Alaska,1984,4,1104,1984-04-01
Alaska,1984,5,12652,1984-05-01
Alaska,1984,6,95817,1984-06-01
Alaska,1984,7,151726,1984-07-01
Alaska,1984,8,144196,1984-08-01
Alaska,1984,9,105982,1984-09-01
Alaska,1984,10,1801,1984-10-01
Alaska,1984,11,804,1984-11-01
Alaska,1984,12,281,1984-12-01
Alaska,1985,1,312,1985-01-01
Alaska,1985,2,363,1985-02-01
Alaska,1985,3,659,1985-03-01
Alaska,1985,4,1070,1985-04-01
Alaska,1985,5,12520,1985-05-01
Alaska,1985,6,124058,1985-06-01
Alaska,1985,7,189546,1985-07-01
Alaska,1985,8,165048,1985-08-01
Alaska,1985,9,81919,1985-09-01
Alaska,1985,10,2133,1985-10-01
Alaska,1985,11,913,1985-11-01
Alaska,1985,12,763,1985-12-01
Alaska,1986,1,335,1986-01-01
Alaska,1986,2,406,1986-02-01
Alaska,1986,3,848,1986-03-01
Alaska,1986,4,2465,1986-04-01
Alaska,1986,5,23451,1986-05-01
Alaska,1986,6,136067,1986-06-01
Alaska,1986,7,199649,1986-07-01
Alaska,1986,8,222118,1986-08-01
Alaska,1986,9,89150,1986-09-01
Alaska,1986,10,3720,1986-10-01
Alaska,1986,11,228,1986-11-01
Alaska,1986,12,365,1986-12-01
Alaska,1987,1,166,1987-01-01
Alaska,1987,2,183,1987-02-01
Alaska,1987,3,595,1987-03-01
Alaska,1987,4,1069,1987-04-01
Alaska,1987,5,52031,1987-05-01
Alaska,1987,6,155495,1987-06-01
Alaska,1987,7,211640,1987-07-01
Alaska,1987,8,187595,1987-08-01
Alaska,1987,9,97482,1987-09-01
Alaska,1987,10,6560,1987-10-01
Alaska,1987,11,155,1987-11-01
Alaska,1987,12,138,1987-12-01
Alaska,1988,1,331,1988-01-01
Alaska,1988,2,377,1988-02-01
Alaska,1988,3,565,1988-03-01
Alaska,1988,4,1342,1988-04-01
Alaska,1988,5,62992,1988-05-01
Alaska,1988,6,217867,1988-06-01
Alaska,1988,7,226235,1988-07-01
Alaska,1988,8,150729,1988-08-01
Alaska,1988,9,60788,1988-09-01
Alaska,1988,10,25938,1988-10-01
Alaska,1988,11,242,1988-11-01
Alaska,1988,12,179,1988-12-01
Alaska,1989,1,304,1989-01-01
Alaska,1989,2,489,1989-02-01
Alaska,1989,3,767,1989-03-01
Alaska,1989,4,1392,1989-04-01
Alaska,1989,5,25445,1989-05-01
Alaska,1989,6,112563,1989-06-01
Alaska,1989,7,256040,1989-07-01
Alaska,1989,8,195620,1989-08-01
Alaska,1989,9,98652,1989-09-01
Alaska,1989,10,6840,1989-10-01
Alaska,1989,11,179,1989-11-01
Alaska,1989,12,174,1989-12-01
Alaska,1990,1,281,1990-01-01
Alaska,1990,2,409,1990-02-01
Alaska,1990,3,718,1990-03-01
Alaska,1990,4,1021,1990-04-01
Alaska,1990,5,22612,1990-05-01
