Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	4	965
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	5	2,428
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	6	2,483
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	7	4,156
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	8	4,944
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	9	14,000
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	10	3,990
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	11	1,356
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1979	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	4	978
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	5	3,046
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	6	4,557
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	7	4,203
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	8	4,851
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	9	3,333
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	10	3,501
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	11	505
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1980	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	4	1,189
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	5	1,778
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	6	7,947
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	7	4,368
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	8	4,253
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	9	3,005
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	10	3,667
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	11	848
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1981	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	4	1,383
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	5	3,049
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	6	3,800
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	7	4,321
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	8	5,299
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	9	3,024
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	10	3,899
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	11	665
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1982	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	4	1,194
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	5	2,169
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	6	4,920
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	7	4,621
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	8	5,139
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	9	3,947
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	10	3,866
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	11	306
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1983	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	4	1,092
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	5	3,202
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	6	3,572
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	7	4,655
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	8	4,294
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	9	2,718
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	10	3,617
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1984	11	248
